emotion,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU23,AU24,AU25,AU26,AU28,AU43
angry,0.620479,0.11868525,0.945737,0.3476959,0.47992373,1.0,0.6481806,0.4718169,0.0,0.12982908,0.34256303,0.34924307,0.34735453,1.0,0.52434015,0.075899206,0.9989262,0.38628665,0.19948567,0.5007507
angry,0.3053573,0.18090644,0.23520645,0.34271508,0.061213873,0.0,0.12667145,0.0007620652,1.0,0.021781135,0.35096166,0.071315534,0.38930714,0.0,0.2495742,0.31135952,0.10484229,0.18939689,0.022237975,0.05559876
angry,0.37819862,0.24994041,0.7720749,0.3195277,0.24106367,0.0,0.2759649,0.30308935,0.0,0.17636813,0.17035155,0.59719753,0.32737386,1.0,0.54854614,0.12183849,0.9967102,0.9003703,0.11734984,0.2759744
angry,0.45773524,0.37682098,0.7529353,0.5622803,0.15495822,0.0,0.141288,0.6001413,1.0,0.03373092,0.1053094,0.35152698,0.24215865,1.0,0.341879,0.008723573,0.9998672,0.5089112,0.06666002,0.044055425
angry,0.57778347,0.27064988,0.77681273,0.46797326,0.21267141,0.0,0.10930625,0.17147815,0.0,0.016974526,0.08218052,0.10204894,0.38219345,1.0,0.38174358,0.026969336,0.99913836,0.6756366,0.17226568,0.112012275
angry,0.4049737,0.2233333,0.6167941,0.72359425,0.062398124,1.0,0.14772522,0.6973386,1.0,0.18729754,0.18911594,0.20793201,0.29967585,1.0,0.2123052,0.038287677,0.9966834,0.92373365,0.05875721,0.032513354
angry,0.5807586,0.3536554,0.81811446,0.3877133,0.07235008,0.0,0.14195248,0.013357599,1.0,0.01733036,0.3690898,0.3772536,0.45144793,0.0,0.5427428,0.21271987,0.015735094,0.15809026,0.38756523,0.025758404
angry,0.37327135,0.12906566,0.43909422,0.353461,0.46961474,1.0,0.15945268,0.35550752,0.0,0.27296153,0.23437864,0.20076014,0.2732717,1.0,0.18221161,0.008966642,0.9999299,0.9380996,0.041995637,0.04863205
angry,0.35862148,0.16463698,0.517241,0.43053746,0.08648795,0.0,0.13337627,0.07066807,0.0,0.027477693,0.076518804,0.18407884,0.35973462,0.0,0.11052348,0.12990361,0.66920435,0.09640583,0.10057936,0.031196402
angry,0.44490117,0.3665904,0.8014014,0.31616843,0.11316985,0.0,0.115339644,0.6299235,1.0,0.019236796,0.23539871,0.7940778,0.52444583,0.0,0.3448164,0.114689596,0.9790229,0.22349635,0.01896151,0.023856707
angry,0.35712996,0.29936877,0.8361692,0.41043434,0.37660745,1.0,0.20181406,0.74347126,0.0,0.116097204,0.13610925,0.37345928,0.2859126,1.0,0.29449943,0.0073428852,0.99994326,0.88141274,0.031084757,0.119633496
angry,0.4412435,0.20282985,0.91530186,0.23622307,0.6098061,1.0,0.5145618,0.5151205,0.0,0.18705255,0.40742928,0.54004633,0.2724504,1.0,0.28062755,0.010618898,0.999713,0.7866311,0.07116581,0.76677257
angry,0.20527735,0.11967016,0.79777956,0.47366434,0.08405034,0.0,0.15863593,0.39020988,0.0,0.07617941,0.24579754,0.24428076,0.2965757,1.0,0.24117646,0.059520684,0.9996184,0.9116008,0.13910984,0.043409843
angry,0.38014528,0.13764249,0.58231634,0.46337673,0.08732266,0.0,0.101912275,0.000648161,1.0,0.017804421,0.17514311,0.17338234,0.46650007,0.0,0.36840174,0.17096902,0.94329655,0.38675994,0.2211227,0.08843712
angry,0.6719824,0.49747142,0.93020684,0.33165127,0.07063315,1.0,0.10680033,0.099376366,0.0,0.02404723,0.17219973,0.159924,0.2683136,1.0,0.32273164,0.026580928,0.98761415,0.8979946,0.084322736,0.02746242
angry,0.80583256,0.46535286,0.7100039,0.3193419,0.24118303,0.0,0.14311542,0.6816954,1.0,0.065801114,0.21147864,0.7462317,0.25933224,1.0,0.41725832,0.0094965035,0.99994075,0.98347855,0.086941235,0.05775831
angry,0.21679756,0.14749931,0.34756327,0.61120045,0.06202369,0.0,0.15778422,0.111072116,1.0,0.03274198,0.3190908,0.19709378,0.46566,0.0,0.43353567,0.271301,0.9875622,0.11031706,0.009453474,0.042130724
angry,0.5569118,0.15089907,0.7261417,0.33255175,0.11441595,1.0,0.14688797,0.0040703216,0.0,0.03347759,0.22806633,0.26782784,0.51286364,0.0,0.54362446,0.44231805,0.017899357,0.09461938,0.11927415,0.09686283
angry,0.43352368,0.21818855,0.8706894,0.27256185,0.39499953,0.0,0.38284183,0.08246769,0.0,0.24170952,0.16899356,0.39456734,0.3096576,1.0,0.21997704,0.0639551,0.9999554,0.909545,0.055654366,0.7284755
angry,0.5634036,0.33047974,0.7909894,0.39391398,0.25689533,0.0,0.19698805,0.64082664,0.0,0.10453723,0.0584502,0.1748594,0.22538224,1.0,0.3180675,0.006033279,0.9999908,0.9408423,0.015842825,0.05529813
angry,0.27986237,0.18657695,0.7391508,0.3788679,0.22021048,0.0,0.22369507,0.08065637,0.0,0.080084376,0.10024426,0.18766199,0.18848206,1.0,0.236585,0.005368979,0.99998796,0.9556903,0.013490031,0.10580404
angry,0.5793611,0.24298993,0.7405512,0.27232343,0.40464288,0.0,0.72377837,0.6824409,0.0,0.16007513,0.102919586,0.13415916,0.21782573,1.0,0.29658848,0.0054480243,0.9999764,0.9273684,0.027070446,0.7757302
angry,0.42154,0.08757022,0.8667613,0.25550815,0.5636925,1.0,0.6826369,0.4439818,1.0,0.22384502,0.115375765,0.5507591,0.38790283,1.0,0.46347293,0.047214665,0.9999865,0.7650362,0.075088136,0.741737
angry,0.402623,0.35404265,0.5022235,0.31569856,0.04639528,0.0,0.13141516,0.0050755683,0.0,0.0261959,0.47382402,0.7847912,0.3336644,0.0,0.56876355,0.4505528,0.034026742,0.27699724,0.639564,0.019802954
angry,0.5488283,0.3489973,0.73720783,0.506862,0.14174472,0.0,0.12294739,0.05779233,0.0,0.03427734,0.108540945,0.22699215,0.27346385,1.0,0.29564822,0.09671252,0.97339666,0.4444678,0.12515105,0.039417617
angry,0.6445577,0.22756296,0.5497657,0.32742146,0.30973223,1.0,0.17896916,0.064919084,0.0,0.36211485,0.15657379,0.38812774,0.42817798,1.0,0.41726995,0.05820529,0.9999107,0.9270277,0.039987292,0.10790237
angry,0.59141743,0.238604,0.8552388,0.47270542,0.12772039,0.0,0.26453838,0.22263125,0.0,0.050827656,0.22721215,0.112055294,0.21362871,1.0,0.3581284,0.010366953,0.99994123,0.97628695,0.33694875,0.050972514
angry,0.5963255,0.54559463,0.87884104,0.2584656,0.24487396,1.0,0.520742,0.9801664,1.0,0.045997072,0.3973789,0.4563402,0.31871942,1.0,0.43561715,0.039650187,0.9981133,0.7576006,0.09929143,0.38970175
angry,0.6054114,0.28732094,0.74749136,0.43939316,0.145229,0.0,0.1339542,0.8057795,0.0,0.04532608,0.15711878,0.38517058,0.3094904,1.0,0.45088407,0.05375187,0.966204,0.7362819,0.021822754,0.09970433
angry,0.5523963,0.34547886,0.29886854,0.66699743,0.107380405,0.0,0.15327826,0.03477866,0.0,0.036183078,0.20518178,0.11865244,0.2667277,0.0,0.13630053,0.07096125,0.9959122,0.20338209,0.023579719,0.044861205
angry,0.4233199,0.43943498,0.68324614,0.58823156,0.07281466,0.0,0.2721944,0.89331895,0.0,0.04250449,0.11828438,0.23958276,0.194413,1.0,0.38438362,0.004603826,0.99994946,0.9808976,0.05506009,0.065419726
angry,0.35698253,0.4812929,0.662136,0.6232064,0.1303736,0.0,0.14315286,0.67834103,1.0,0.05866078,0.12175244,0.33417824,0.2225695,1.0,0.39415023,0.031202162,0.9997682,0.91551346,0.054936614,0.02473868
angry,0.46663725,0.14257964,0.9690438,0.28031623,0.50651467,0.0,0.37252656,0.85852355,1.0,0.4056784,0.28382784,0.8464186,0.33212125,1.0,0.408765,0.022581076,0.99842787,0.8839558,0.040496163,0.08053389
angry,0.52735734,0.13704157,0.79822934,0.47725636,0.06650859,0.0,0.10892241,0.5227632,0.0,0.026469344,0.19891405,0.24359384,0.40486908,0.0,0.45622355,0.1726657,0.7095028,0.16982137,0.099878184,0.018434897
angry,0.26058352,0.26717865,0.72069395,0.48534772,0.06050867,0.0,0.10566468,0.4947886,0.0,0.11723541,0.21906805,0.18846357,0.31421807,0.0,0.5376988,0.31887507,0.9219439,0.2842515,0.14115489,0.044298925
angry,0.5488949,0.14350297,0.8449141,0.34177685,0.16844028,0.0,0.17703998,0.053544648,0.0,0.021738373,0.080451466,0.13554694,0.3705358,1.0,0.36052942,0.03129109,0.9993399,0.7774848,0.045113225,0.11235498
angry,0.4505919,0.1427957,0.85363376,0.58227605,0.10860873,0.0,0.10409598,0.68097275,0.0,0.047939688,0.1926695,0.36587062,0.26508224,1.0,0.4095381,0.09112085,0.9977314,0.38364622,0.08240134,0.11640877
angry,0.57979476,0.1975656,0.93009853,0.28276518,0.5344187,1.0,0.78793675,0.08206598,0.0,0.047286376,0.14951536,0.27202624,0.25121352,1.0,0.54753184,0.021987425,0.99943763,0.89098996,0.028638685,0.9239135
