emotion,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU23,AU24,AU25,AU26,AU28,AU43
angry,0.33369687,0.3346423,0.37262392,0.28386858,0.6867384,1.0,0.44934684,0.14775792,0.0,0.7089908,0.69812256,0.14506416,0.37667277,1.0,0.40496686,0.17906581,0.98474175,0.22162984,0.24258347,0.821496
angry,0.5893821,0.6446937,0.5857671,0.34063852,0.27284124,0.0,0.32361317,0.07824686,1.0,0.0952382,0.15784816,0.43227658,0.37163377,1.0,0.3257827,0.09580852,0.98997635,0.7162113,0.048586074,0.07675593
angry,0.46390426,0.5158998,0.46241874,0.359686,0.3918179,0.0,0.4812791,0.17960629,0.0,0.2539554,0.4290548,0.1210421,0.48566625,0.0,0.31376615,0.47856417,0.4065613,0.050030533,0.018227967,0.50701034
angry,0.48364893,0.16186602,0.9139018,0.27748153,0.4704995,1.0,0.63294226,0.07624019,1.0,0.2640155,0.40801957,0.2295648,0.24250267,1.0,0.42052427,0.029819073,0.99988556,0.7023113,0.076720916,0.61430424
angry,0.41443947,0.17632483,0.3659065,0.38910893,0.060670555,0.0,0.18511033,0.14651886,1.0,0.032626778,0.31566402,0.3525279,0.5055004,0.0,0.5403102,0.5229656,0.48457956,0.2143395,0.5348603,0.032256342
angry,0.6044014,0.26407847,0.7626739,0.35748574,0.119678855,1.0,0.18320012,0.6648432,1.0,0.05063864,0.31617856,0.5700995,0.6053211,0.0,0.69825584,0.35529503,0.91285145,0.5934232,0.0383186,0.1538222
angry,0.51563036,0.238133,0.5857616,0.3761151,0.38087532,1.0,0.63619703,0.01190781,1.0,0.17138723,0.29409346,0.36979255,0.3580289,1.0,0.35817662,0.02729231,0.9995136,0.68085855,0.023148349,0.17075565
angry,0.51100564,0.5655809,0.14440154,0.40059102,0.22378668,0.0,0.23750569,0.054091558,1.0,0.19375938,0.50332105,0.23905723,0.50952005,0.0,0.2638996,0.4157647,0.6602881,0.3283864,0.14099197,0.077258125
angry,0.31468174,0.2117857,0.6202528,0.36793548,0.10572679,0.0,0.16162588,0.00047585793,0.0,0.02719022,0.6044851,0.32637063,0.38693208,0.0,0.7563377,0.5553987,0.036715176,0.30848172,0.3020469,0.048446573
angry,0.30762187,0.19372568,0.5209038,0.45422047,0.046200518,0.0,0.11961879,0.3897185,0.0,0.080487646,0.19348182,0.4179621,0.4250498,0.0,0.57197016,0.5413491,0.0027834412,0.113746524,0.39979914,0.048673104
angry,0.55412334,0.42373922,0.4479603,0.4240968,0.11113923,0.0,0.31680778,0.01971388,1.0,0.080558926,0.27877787,0.28083843,0.39951423,0.0,0.6838376,0.36989334,0.87741303,0.31351888,0.34371105,0.2320786
angry,0.40486452,0.17934318,0.4947999,0.27007642,0.23716348,0.0,0.6279436,0.79041904,0.0,0.5948803,0.3487779,0.38702366,0.30044383,1.0,0.5650489,0.037264176,0.9994821,0.85035,0.42213947,0.30991152
angry,0.52020615,0.42574126,0.30449623,0.7248515,0.08254253,1.0,0.27949828,0.002315665,0.0,0.095884085,0.28388137,0.3627959,0.27538455,1.0,0.3493963,0.06809432,0.78908813,0.254333,0.061086148,0.2151043
angry,0.40875313,0.16164804,0.63379246,0.34125757,0.13378082,0.0,0.27143025,0.017237728,0.0,0.053704765,0.46885052,0.08937345,0.42715064,0.0,0.6154109,0.5535046,0.13274515,0.087498546,0.101601325,0.83238715
angry,0.5155185,0.25274512,0.6108524,0.25676483,0.79572797,1.0,0.47791326,0.96142894,1.0,0.44836318,0.44809034,0.15027145,0.25420663,1.0,0.46162248,0.03253851,0.9988557,0.7919483,0.110959746,0.91297156
angry,0.51235324,0.18341202,0.7439332,0.22487487,0.31812644,0.0,0.5646352,0.33122525,0.0,0.10465459,0.7303744,0.42712992,0.36249992,1.0,0.7001058,0.06346112,0.9965138,0.87998384,0.06155943,0.22355658
angry,0.3867512,0.44093993,0.8138957,0.28875518,0.4066558,1.0,0.541252,0.970707,0.0,0.16987988,0.76288265,0.20489092,0.38918424,1.0,0.48257628,0.2762732,0.9959753,0.12326834,0.20779555,0.1780152
angry,0.32972324,0.14292936,0.87280035,0.26191413,0.17755608,1.0,0.5049627,0.003012521,1.0,0.15973914,0.41443583,0.4715449,0.3196232,1.0,0.54143643,0.17642373,0.99035597,0.35037616,0.30335164,0.73774165
angry,0.39973074,0.13167943,0.6217202,0.32360125,0.06694972,0.0,0.3152232,0.00037640188,0.0,0.022348115,0.19498727,0.43436545,0.50181395,0.0,0.611939,0.46405536,0.96893364,0.24057555,0.4446152,0.228214
angry,0.18262124,0.10731525,0.6855695,0.26253498,0.6676352,1.0,0.5538994,0.9434386,0.0,0.6984321,0.69215256,0.14096971,0.44522175,1.0,0.5679796,0.60382146,0.39802712,0.03987603,0.2856067,0.85939085
angry,0.34031796,0.3016222,0.21251543,0.48594218,0.10097385,0.0,0.17333184,0.25823233,0.0,0.04645673,0.46340612,0.46239015,0.5168436,0.0,0.6243171,0.50531334,0.0058049615,0.09681306,0.38513964,0.048898924
angry,0.43514568,0.23473713,0.64734256,0.24050738,0.54417586,0.0,0.65697914,0.077408165,0.0,0.26446053,0.38545394,0.5676637,0.23447481,1.0,0.506126,0.009496651,0.99988437,0.5780443,0.03085704,0.6448003
angry,0.5773418,0.28325996,0.75232965,0.3167756,0.7396342,1.0,0.71595407,0.94500273,1.0,0.7211941,0.7245671,0.7218085,0.3007916,1.0,0.64162207,0.041648917,0.9991873,0.47876424,0.13658015,0.78485334
angry,0.47480553,0.09541738,0.8003133,0.29156816,0.06650697,0.0,0.4273064,0.03095632,1.0,0.016120523,0.3727703,0.55439293,0.56943375,0.0,0.6398128,0.37560323,0.7247681,0.30849534,0.3030806,0.3452087
angry,0.21881844,0.1232457,0.2334639,0.5891952,0.08992166,0.0,0.18352944,0.111653715,0.0,0.07809389,0.39705846,0.462061,0.5682986,0.0,0.5161963,0.4615353,0.004304447,0.04165446,0.5956101,0.08367013
angry,0.36878002,0.3685203,0.24159741,0.47180936,0.1830185,0.0,0.23538037,0.00023472389,0.0,0.20260772,0.3455917,0.27956215,0.39194098,0.0,0.38361895,0.42171788,0.8040704,0.0714418,0.27743876,0.17401282
angry,0.20126931,0.13793717,0.77586,0.23781703,0.47495115,0.0,0.5876344,0.0020806112,1.0,0.43507802,0.47284707,0.16248833,0.5297805,1.0,0.27790308,0.5266924,0.316115,0.051288694,0.55060595,0.22988024
angry,0.18971156,0.14276403,0.77291787,0.64679956,0.072071485,1.0,0.096811704,0.2335396,1.0,0.029230278,0.33212999,0.14325301,0.45596233,0.0,0.6031652,0.6108688,0.3998687,0.20848133,0.69038343,0.057878666
angry,0.28924078,0.072664484,0.57236445,0.59795535,0.055766936,0.0,0.21825926,0.0057081208,0.0,0.019634314,0.4153292,0.39093712,0.43345675,0.0,0.57994574,0.61339575,0.08651606,0.047026414,0.6547207,0.04733248
angry,0.26401708,0.48543903,0.47388467,0.34949562,0.7956947,1.0,0.58499736,0.15907605,0.0,0.95558155,0.73538107,0.23275453,0.2447551,1.0,0.47001475,0.08270979,0.9992981,0.33518285,0.05399761,0.20250742
angry,0.439729,0.17858914,0.38544565,0.26008514,0.15754068,0.0,0.21356364,0.010372894,0.0,0.1344376,0.50053096,0.5856568,0.51846707,1.0,0.6567952,0.56251884,0.117547356,0.23072568,0.64408195,0.41035056
